episode,first_guess,lars_guess,florentin_guess,real_price,senfkarte,undercover_karte,undercover_produkt
27,Lars,99.99,250.00,26.99,,,
27,Florentin,22.89,35.99,11.47,Florentin,,
27,Lars,59.99,79.99,74.81,Lars,,
28,Lars,12.99,25.99,17.99,,,
28,Florentin,20.00,30.00,24.90,,,
28,Lars,49.99,32.90,42.99,,,
28,Lars,54.99,9.99,12.99,,,
28,Florentin,74.74,89.90,130.62,,,
28,Lars,8.99,5.99,18.02,,,
28,Florentin,50.99,39.00,34.57,Florentin,,
28,Lars,10.00,14.99,16.99,Lars,,
28,Florentin,70.00,90.00,41.19,,,
28,Lars,95.00,120.00,159.88,,,
29,Lars,21.99,13.99,39.99,,,
29,Florentin,17.99,29.99,69.00,,,
29,Lars,15.99,29.99,36.99,,,
29,Florentin,30.00,19.99,32.00,,,
29,Lars,25.00,12.50,10.30,,,
29,Florentin,19.99,9.99,24.90,,,
29,Lars,9.00,4.00,8.95,Lars&Florentin,,
30,Florentin,11.99,7.99,15.79,,,
30,Florentin,60.00,39.99,39.99,,,
30,Lars,29.99,45.00,16.50,,,
30,Florentin,19.99,9.99,22.99,,,
30,Lars,30.00,15.00,79.99,,,
30,Lars,49.99,37.99,49.95,,,
30,Florentin,23.99,14.99,13.92,,,
30,Lars,59.99,100.00,34.99,,,
30,Lars,24.99,29.99,36.99,,,
30,Florentin,11.99,16.99,27.90,,,
30,Lars,9.99,5.99,25.29,,,
31,Florentin,6.99,14.99,9.99,,,
31,Lars,39.99,50.00,119.99,,,
31,Florentin,30.00,18.99,11.00,,,
31,Lars,14.99,8.00,14.99,,,
31,Florentin,14.99,9.00,14.95,,,
31,Lars,21.99,7.99,9.99,,,
31,Lars,20.00,39.99,67.90,Lars,,
31,Florentin,16.99,9.99,10.59,Florentin,,
31,Florentin,18.99,12.99,12.99,,,
32,Florentin,32.99,24.99,102.00,,,
32,Lars,20.00,7.90,19.89,,,
32,Lars,120.00,199.00,479.00,,,
32,Florentin,20.00,30.00,15.05,,,
32,Lars,10.00,19.99,9.99,,,
32,Florentin,35.99,49.99,61.39,Florentin,,
32,Lars,69.99,119.90,94.99,Lars,,
32,Florentin,8.99,11.50,23.39,,,
33,Lars,49.99,40.00,19.43,,,
33,Florentin,27.99,12.90,26.99,,,
33,Florentin,31.99,24.99,20.97,,,
33,Lars,18.99,12.50,13.95,,,
33,Lars,39.99,15.00,61.99,,,
33,Florentin,7.99,10.99,27.95,Florentin,,
33,Lars,17.99,8.99,20.88,,,
33,Lars,15.99,12.99,19.90,Lars,,
33,Florentin,36.99,29.99,7.99,,,
34,Lars,32.99,50.00,19.99,,,
34,Lars,69.99,29.99,109.99,,,
34,Florentin,9.99,14.99,10.99,,,
34,Lars,34.99,49.99,99.29,,,
34,Florentin,7.99,11.99,14.99,Florentin,,
34,Lars,6.99,3.99,18.95,Lars,,
34,Florentin,89.99,119.00,90.69,,,
34,Lars,5.99,3.99,6.99,,,
35,Florentin,49.99,60.00,36.90,,,
35,Lars,24.99,11.99,15.60,,,
35,Lars,29.99,19.99,24.95,,,
35,Florentin,79.99,14.99,0.01,,,
35,Lars,23.99,18.99,33.99,,,
35,Florentin,11.99,5.00,17.99,Florentin,,
35,Lars,34.99,49.99,22.99,Lars,,
36,Florentin,11.99,5.99,23.70,,,
36,Florentin,28.99,35.00,78.59,,,
36,Lars,14.99,7.80,8.99,,,
36,Lars,39.99,25.00,54.95,,,
36,Lars,23.99,29.99,35.99,Lars,,
36,Florentin,8.99,6.99,6.99,Florentin,,
36,Lars,11.99,8.99,18.99,,,
36,Lars,24.99,9.99,39.79,,,
36,Lars,6.99,15.99,7.99,,,
37,Lars,39.99,27.00,17.99,,,
37,Florentin,54.99,70.00,69.90,,,
37,Lars,23.99,40.00,29.95,,,
37,Lars,14.99,25.00,6.99,,,
37,Lars,13.99,9.99,16.99,Lars,,
37,Florentin,34.99,19.99,25.00,Florentin,,
37,Lars,13.99,18.00,29.90,,,
38,Florentin,14.99,19.99,17.99,,,
38,Lars,30.00,20.00,62.90,,,
38,Florentin,69.99,99.00,254.27,,,
38,Lars,50.00,29.99,23.90,Lars,,
38,Florentin,150.00,59.99,229.00,,,
38,Florentin,31.00,21.00,16.99,Florentin,,
38,Lars,9.99,3.99,11.09,,,
38,Florentin,19.99,12.99,14.90,,,
39,Florentin,10.75,14.99,16.00,,,
39,Lars,18.99,14.99,22.99,Lars,,
39,Florentin,15.00,19.99,41.12,,,
39,Florentin,199.99,250.00,449.00,,,
39,Lars,49.99,30.99,54.90,,,
39,Florentin,16.00,8.99,11.04,Florentin,,
40,Lars,59.99,38.00,180.00,,,
40,Florentin,66.89,99.00,25.99,,,
40,Lars,8.99,15.00,16.89,Lars,,
40,Florentin,34.99,60.00,201.71,Florentin,,
40,Florentin,21.99,14.99,33.22,,,
40,Lars,12.99,9.99,15.99,,,
41,Lars,6.99,9.90,20.99,,,
41,Florentin,59.00,29.99,29.99,,,
41,Lars,14.99,5.00,4.48,,,
41,Lars,49.99,19.90,28.99,,,
41,Lars,49.99,39.00,39.99,,,
41,Florentin,69.99,59.99,64.99,Florentin,,
41,Lars,34.99,25.00,861.70,Lars,,
42,Florentin,39.99,60.00,19.99,,,
42,Lars,69.99,50.00,20.54,Lars,,
42,Florentin,18.99,24.99,39.99,,,
42,Lars,32.99,14.99,18.99,,,
42,Lars,79.99,100.00,59.99,,,
42,Florentin,9.99,12.99,15.89,,,
42,Florentin,29.99,39.99,63.98,Florentin,,
42,Florentin,19.99,12.99,9.90,,,
43,Florentin,18.99,22.90,36.99,,,
43,Lars,120.00,59.99,174.99,,,
43,Florentin,18.99,10.00,13.99,,,
43,Lars,19.99,30.00,28.99,,,
43,Lars,40.00,70.00,99.00,Lars,,
43,Florentin,34.99,25.00,13.99,Florentin,,
44,Florentin,12.99,19.99,16.28,,,
44,Lars,15.99,30.00,39.90,,,
44,Florentin,69.99,50.00,44.99,,,
44,Lars,15.99,30.00,16.95,,,
44,Lars,9.99,6.99,39.90,,,
44,Florentin,18.99,24.99,19.00,Florentin,,
44,Lars,24.99,19.99,16.90,Lars,,
45,Lars,18.99,8.00,41.99,,,
45,Florentin,11.00,7.99,16.95,,,
45,Lars,23.99,18.99,49.95,,,
45,Lars,14.99,20.00,8.67,Lars,,
45,Florentin,17.66,24.99,25.49,Florentin,,
45,Florentin,31.99,15.00,19.59,,,
45,Florentin,8.99,3.00,3.99,,,
45,Florentin,8.00,10.00,14.99,,,
45,Lars,23.99,35.00,26.72,,,
